[2025-02-11 17:08:16,004: INFO: main: welcome to our custom log]
[2025-02-15 23:54:11,375: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-15 23:54:11,381: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-15 23:54:11,384: INFO: common: created directory at: artifacts]
[2025-02-15 23:54:11,386: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-15 23:54:11,388: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-15 23:54:21,866: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-16 00:32:37,389: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-02-16 00:32:37,390: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-16 00:32:37,394: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-16 00:32:37,394: INFO: common: created directory at: artifacts]
[2025-02-16 00:32:37,395: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-16 00:32:37,396: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-16 00:32:48,154: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-16 00:32:48,774: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
